id;titulo;descripcion;severidad;estado;detectado_en;reconocido_en;mitigado_en;resuelto_en;usuarios_afectados;cumplio_objetivo
1;putrefy and phooey;notwithstanding happily after;SEV4;CERRADO;2023-12-04T14:22:41;2023-12-04T17:18:42;2023-12-04T00:50:51;2023-12-04T13:55:21;12080;false
2;muted rebound;giant;SEV3;ABIERTO;2023-12-04T15:23:27;2023-12-04T16:15:19;2023-12-04T00:45:03;2023-12-04T17:10:14;17902;false
3;at cemetery;minister;SEV1;RECONOCIDO;2023-12-04T14:49:08;2023-12-04T04:36:51;2023-12-04T22:04:48;2023-12-04T12:28:07;8061;false
4;plus hungrily;blah why trench;SEV1;ABIERTO;2023-12-04T11:08:02;2023-12-04T22:07:22;2023-12-04T18:09:32;2023-12-04T00:34:00;7131;false
5;aha irritably vestment;minus stranger atop;SEV2;CERRADO;2023-12-04T09:11:48;2023-12-04T19:43:57;2023-12-04T17:51:28;2023-12-04T14:00:35;15561;true
6;forgather;through;SEV4;ABIERTO;2023-12-04T08:07:34;2023-12-04T14:46:07;2023-12-04T13:52:26;2023-12-04T10:40:06;5991;true
7;superb option wasabi;lack viciously;SEV3;CERRADO;2023-12-04T17:58:43;2023-12-04T17:17:47;2023-12-04T04:05:41;2023-12-04T17:54:57;7800;false
8;duh;ick;SEV3;RECONOCIDO;2023-12-04T19:58:20;2023-12-03T22:37:27;2023-12-04T13:59:09;2023-12-04T08:28:10;29459;true
9;hm complicated;goodwill;SEV4;CERRADO;2023-12-04T15:35:54;2023-12-04T18:15:47;2023-12-04T01:13:07;2023-12-04T16:19:32;30760;false
10;calculating hmph while;past amid regarding;SEV4;RECONOCIDO;2023-12-04T16:54:07;2023-12-04T05:02:22;2023-12-04T13:45:36;2023-12-04T13:45:47;3733;true
11;crossly among;roughly second-hand notwithstanding;SEV3;MITIGADO;2023-12-04T06:26:05;2023-12-04T20:57:29;2023-12-04T02:14:39;2023-12-04T17:14:17;3116;true
12;yowza rectangular;enthusiastically finally;SEV3;RECONOCIDO;2023-12-04T16:55:55;2023-12-04T19:36:28;2023-12-04T04:44:28;2023-12-04T16:47:03;23981;false
13;per;attend address hm;SEV2;ABIERTO;2023-12-04T14:20:51;2023-12-04T11:18:55;2023-12-03T23:09:10;2023-12-04T00:51:46;9640;true
14;yum;though;SEV4;CERRADO;2023-12-03T23:25:23;2023-12-04T00:23:15;2023-12-04T01:49:58;2023-12-04T09:41:42;23247;false
15;circa;finally as;SEV4;MITIGADO;2023-12-04T18:26:55;2023-12-04T08:42:05;2023-12-04T05:56:01;2023-12-04T03:58:48;25242;false
16;mythology;far knavishly;SEV3;CERRADO;2023-12-04T20:38:34;2023-12-04T13:23:02;2023-12-04T04:39:51;2023-12-04T08:13:35;11360;false
17;yum;right despite;SEV3;CERRADO;2023-12-03T22:37:34;2023-12-04T12:29:50;2023-12-04T20:10:53;2023-12-04T04:14:31;20221;true
18;geez always;poetry;SEV4;ABIERTO;2023-12-04T11:14:51;2023-12-04T11:17:03;2023-12-04T06:48:59;2023-12-04T04:01:32;30885;true
19;vaguely common;intellect meh;SEV4;MITIGADO;2023-12-04T14:58:01;2023-12-03T23:25:16;2023-12-04T03:49:44;2023-12-04T13:33:35;2125;false
20;onto breed unless;impractical anneal that;SEV1;RECONOCIDO;2023-12-04T16:24:58;2023-12-04T02:37:42;2023-12-03T23:40:17;2023-12-04T09:54:58;27188;true
21;hungry;faithfully consign descriptive;SEV3;RECONOCIDO;2023-12-04T17:35:01;2023-12-04T02:14:25;2023-12-04T22:32:06;2023-12-04T15:36:21;29268;true
22;grown hydrant;through surprised lazy;SEV3;CERRADO;2023-12-04T15:11:58;2023-12-04T11:28:34;2023-12-04T18:26:46;2023-12-03T23:29:16;22877;true
23;footrest round;past;SEV3;RECONOCIDO;2023-12-04T16:58:57;2023-12-04T04:36:49;2023-12-04T18:11:35;2023-12-04T14:20:54;3683;false
24;among yowza;elegantly supposing punctually;SEV1;CERRADO;2023-12-04T12:48:44;2023-12-04T19:01:44;2023-12-04T01:23:10;2023-12-04T19:30:23;21687;false
25;trek internationalize;phooey;SEV2;RECONOCIDO;2023-12-04T22:11:40;2023-12-04T13:16:48;2023-12-04T18:19:12;2023-12-04T15:05:15;19181;false
26;sway as;outside ambitious among;SEV4;MITIGADO;2023-12-04T11:23:25;2023-12-04T21:50:40;2023-12-04T01:58:57;2023-12-04T22:09:55;24947;false
27;since;yawningly cumbersome ah;SEV2;CERRADO;2023-12-04T18:29:23;2023-12-04T20:11:33;2023-12-03T22:40:02;2023-12-04T06:33:25;25938;false
28;neglected;though;SEV1;RESUELTO;2023-12-04T20:36:14;2023-12-04T07:03:41;2023-12-04T00:02:44;2023-12-04T03:58:26;28309;true
29;across suitcase ironclad;drat drat grass;SEV2;CERRADO;2023-12-04T11:28:42;2023-12-04T20:10:52;2023-12-04T21:42:59;2023-12-04T07:43:56;4291;true
30;while;for psst;SEV1;RESUELTO;2023-12-04T20:48:38;2023-12-04T08:42:39;2023-12-04T18:39:00;2023-12-04T07:20:16;16372;true
