id;tipo;severidad_aplicable;minutos_objetivo;descripcion;servicio_id
1;DISPONIBILIDAD;SEV4;8438;mechanically regarding;1
2;TIEMPO_DE_RESOLUCION;SEV2;365;whenever;2
3;TIEMPO_DE_RECONOCIMIENTO;SEV4;3104;throbbing major;3
4;TIEMPO_DE_RESOLUCION;SEV1;8841;hence;4
5;TIEMPO_DE_RESOLUCION;SEV1;497;gadzooks underplay once;5
6;TIEMPO_DE_RECONOCIMIENTO;SEV1;5098;upright joyous;6
7;TIEMPO_DE_RECONOCIMIENTO;SEV3;2861;so;7
8;TIEMPO_DE_RECONOCIMIENTO;SEV3;1942;ribbon;8
9;TIEMPO_DE_RESOLUCION;SEV4;9840;wealthy geez;9
10;DISPONIBILIDAD;SEV3;9516;bah;10
11;DISPONIBILIDAD;SEV2;6741;hydrolyse legging gift;11
12;DISPONIBILIDAD;SEV2;5367;waltz;12
13;DISPONIBILIDAD;SEV3;9460;congregate;13
14;TIEMPO_DE_RECONOCIMIENTO;SEV3;9382;now instead;14
15;TIEMPO_DE_RECONOCIMIENTO;SEV3;9489;frequent acidic;15
16;TIEMPO_DE_RECONOCIMIENTO;SEV1;306;beyond heavenly apud;16
17;DISPONIBILIDAD;SEV1;464;feminize mobilise potentially;17
18;DISPONIBILIDAD;SEV3;7477;pink;18
19;TIEMPO_DE_RESOLUCION;SEV3;8694;stay graduate;19
20;TIEMPO_DE_RECONOCIMIENTO;SEV4;2991;hmph;20
21;TIEMPO_DE_RECONOCIMIENTO;SEV4;9480;uselessly knowledgeably oh;21
22;TIEMPO_DE_RESOLUCION;SEV1;4961;underpants upon;22
23;TIEMPO_DE_RESOLUCION;SEV3;5387;upright spectate;23
24;TIEMPO_DE_RESOLUCION;SEV2;4464;repeatedly;24
25;TIEMPO_DE_RESOLUCION;SEV4;4627;nifty vein blissfully;25
26;TIEMPO_DE_RESOLUCION;SEV3;3498;fervently better underneath;26
27;DISPONIBILIDAD;SEV2;8375;assail covenant delectable;27
28;TIEMPO_DE_RECONOCIMIENTO;SEV1;614;mediocre;28
29;DISPONIBILIDAD;SEV1;6724;highlight;29
30;TIEMPO_DE_RECONOCIMIENTO;SEV3;76;upon digestive now;30
