id;orden;espera_minutos;canal;politica_id
1;3;67;LLAMADA;1
2;4;104;WEBHOOK;2
3;7;114;WEBHOOK;3
4;9;19;PUSH;4
5;1;116;LLAMADA;5
6;2;1;LLAMADA;6
7;5;26;LLAMADA;7
8;8;67;WEBHOOK;8
9;2;16;PUSH;9
10;6;12;LLAMADA;10
11;8;75;EMAIL;11
12;3;119;SMS;12
13;5;102;EMAIL;13
14;8;40;PUSH;14
15;8;83;LLAMADA;15
16;10;27;LLAMADA;16
17;9;5;EMAIL;17
18;8;37;PUSH;18
19;7;68;EMAIL;19
20;4;94;LLAMADA;20
21;9;119;EMAIL;21
22;7;81;WEBHOOK;22
23;1;15;WEBHOOK;23
24;6;115;PUSH;24
25;9;19;EMAIL;25
26;4;15;LLAMADA;26
27;6;28;WEBHOOK;27
28;4;103;PUSH;28
29;9;10;EMAIL;29
30;3;41;PUSH;30
