id;nombre;descripcion;repetir_veces;servicio_id
1;given;inquisitively mmm how;3;1
2;hourly yahoo alongside;as needily;0;2
3;lady only quadruple;yowza fully;0;3
4;during clinch;gymnast who um;3;4
5;hmph;swift voluntarily lovingly;0;5
6;fumigate;address stoop nougat;4;6
7;which;gigantic although deficient;4;7
8;tempting;aggressive save chime;2;8
9;phew probe;sedately;2;9
10;boo drab ew;after;3;10
11;phooey admired yuck;fooey on;5;11
12;mallard vengeful;ack;2;12
13;husky unethically obligation;youthfully zowie outlying;5;13
14;except;yet nor;5;14
15;lasting festival from;gee miserably;2;15
16;however bemuse aw;save numeracy;2;16
17;peppery;likewise;2;17
18;gosh;smoothly;4;18
19;arrogantly;monthly curse;0;19
20;aha armchair or;undergo against finally;5;20
21;colonialism uh-huh;repurpose messy;4;21
22;till clear-cut;heating;1;22
23;whenever pace embossing;following thorny;3;23
24;into;oddly yum;5;24
25;sure-footed quirkily furthermore;off;1;25
26;ornate steeple mechanic;playfully than;3;26
27;wherever against;ha demonstrate alongside;5;27
28;solemnly;dress each;5;28
29;oof joyfully;emulsify uh-huh;2;29
30;fooey gadzooks;windy rotating grizzled;0;30
