id;nombre;tipo;zona_horaria;activa;equipo_id
1;yuck yippee of;PERSONALIZADA;likewise;true;1
2;now confused inside;SEMANAL;um wafer;true;2
3;sup bouncy;PERSONALIZADA;describe inferior;true;3
4;whoever;SEMANAL;till;true;4
5;yet;PERSONALIZADA;hm;true;5
6;where mobility inject;PERSONALIZADA;once warming likewise;true;6
7;eyeglasses spring;DIARIA;tribe;true;7
8;bouncy because without;SEMANAL;back that;false;8
9;willow gee;SEMANAL;upwardly suddenly;true;9
10;yippee overcooked;DIARIA;gah;true;10
11;yet;DIARIA;questionably;true;11
12;vista;DIARIA;fairly honestly;false;12
13;epic boo only;PERSONALIZADA;beneath sore;false;13
14;where tangible;DIARIA;yesterday plus;false;14
15;very;SEMANAL;molasses;false;15
16;nifty dimly;SEMANAL;absent;false;16
17;unless tomorrow;DIARIA;crowded the;true;17
18;for;PERSONALIZADA;a toward times;true;18
19;fast well-lit;SEMANAL;recovery apud responsible;true;19
20;shallow debut lowball;DIARIA;lava amount lazily;true;20
21;recede;DIARIA;untrue concrete make;true;21
22;drat;PERSONALIZADA;cloudy energetic;true;22
23;inside huzzah;SEMANAL;knowledgeably far;false;23
24;hubris;DIARIA;ha buttery;false;24
25;aftermath hawk dual;DIARIA;geez creamy;false;25
26;limply including;PERSONALIZADA;polite react lady;false;26
27;huzzah boyfriend hoof;SEMANAL;gadzooks phooey for;false;27
28;object;DIARIA;properly;true;28
29;loftily bah;DIARIA;plagiarise igloo gadzooks;true;29
30;eek excitedly;PERSONALIZADA;miscalculate;true;30
