id;desde;hasta;es_reemplazo;nota;rotacion_id;responsable_id
1;2023-12-04T06:01:06;2023-12-04T06:52:38;true;trash obnoxiously;1;1
2;2023-12-04T11:10:01;2023-12-04T17:34:43;false;defenseless atop if;2;2
3;2023-12-04T15:45:08;2023-12-04T04:22:23;true;knitting unless;3;2
4;2023-12-04T20:33:01;2023-12-04T01:35:05;false;formamide hm ridge;4;2
5;2023-12-04T18:41:58;2023-12-04T03:32:22;true;oddly lumpy;5;1
6;2023-12-04T13:43:52;2023-12-04T11:35:51;false;clear yum after;6;1
7;2023-12-04T14:34:52;2023-12-03T23:55:35;true;silently upon;7;2
8;2023-12-03T22:58:54;2023-12-04T17:44:47;false;waft;8;1
9;2023-12-04T16:09:15;2023-12-04T12:33:11;true;gah;9;1
10;2023-12-04T17:41:41;2023-12-04T12:58:38;true;provided;10;2
11;2023-12-04T04:20:51;2023-12-04T12:41:54;true;aha off;11;1
12;2023-12-04T01:32:11;2023-12-04T15:15:47;true;drive minion;12;1
13;2023-12-04T05:59:55;2023-12-04T19:56:04;false;downshift following;13;1
14;2023-12-04T13:46:48;2023-12-04T06:35:30;false;resolve;14;2
15;2023-12-04T18:25:05;2023-12-03T23:00:26;false;lieu shark;15;2
16;2023-12-04T06:11:58;2023-12-04T03:11:13;false;filthy;16;2
17;2023-12-04T10:43:45;2023-12-04T19:31:35;true;gee;17;2
18;2023-12-04T03:41:20;2023-12-04T22:28:21;false;unlike ugh;18;1
19;2023-12-04T17:48:34;2023-12-04T17:19:11;false;evince frilly phew;19;1
20;2023-12-04T21:39:54;2023-12-04T14:28:29;true;obedient;20;2
21;2023-12-04T19:57:51;2023-12-04T19:56:22;true;eek neglect;21;2
22;2023-12-04T19:45:23;2023-12-04T16:11:47;true;knowledgeably uh-huh;22;2
23;2023-12-04T20:27:28;2023-12-04T10:57:49;false;unusual even;23;1
24;2023-12-04T19:37:08;2023-12-04T11:12:25;true;puny uh-huh;24;1
25;2023-12-03T23:27:13;2023-12-04T20:00:01;false;around now;25;2
26;2023-12-04T09:59:48;2023-12-04T13:49:56;true;lazily store across;26;1
27;2023-12-04T11:33:07;2023-12-04T00:57:54;true;unused;27;2
28;2023-12-04T03:32:54;2023-12-04T14:11:00;true;swear;28;1
29;2023-12-04T12:55:23;2023-12-04T00:14:00;false;hepatitis;29;1
30;2023-12-04T15:26:12;2023-12-04T20:46:21;false;urgently;30;1
